,Corrida_1,Corrida_2,Corrida_3,Promedio
2023-10-24 15:00:00,71.20030726871775,71.19405481904202,71.19914731196589,71.19783646657521
2023-11-07 15:00:00,73.63412391988517,73.4855988952288,73.5668743322349,73.56219904911629
2023-11-21 15:00:00,62.94826147021242,62.9481680193158,62.95223577040541,62.949555086644544
2023-12-05 15:00:00,62.0023523473103,62.002347051111684,62.001872497281674,62.00219063190122
2023-12-19 15:00:00,58.24317181309833,58.222486845563644,58.211795542993336,58.225818067218434
2024-01-02 15:00:00,65.86029034972483,65.87484538848243,65.85780890094361,65.86431487971696
2024-01-16 15:00:00,49.086837300710656,49.086312005005155,49.086259327199976,49.08646954430526
2024-01-30 15:00:00,35.34291130163609,35.34291256345546,35.342909374088,35.34291107972652
2024-02-13 15:00:00,54.80041287270232,54.80337451433846,54.803107629599594,54.80229833888012
2024-02-27 15:00:00,74.75961027441177,74.75847326611766,74.75592629375714,74.75800327809553
2024-03-12 15:00:00,81.52772303927361,81.53015989613203,81.4317728024472,81.49655191261762
2024-03-26 15:00:00,65.24131123107402,65.23680781985901,65.24042738268281,65.23951547787195
2024-04-09 15:00:00,55.208342727468704,55.20446602200512,55.206005084044044,55.206271277839285
2024-04-23 15:00:00,37.75196803637531,37.72632826882429,37.741448846184426,37.73991505046134
2024-05-07 15:00:00,31.04311778622768,31.42914450417081,31.438854838700657,31.303705709699717
2024-05-21 15:00:00,45.938258484052845,45.938263854609524,45.93822969660407,45.93825067842215
2024-06-04 15:00:00,52.28559923837382,52.2855061973336,52.28585433350758,52.285653256405
2024-06-18 15:00:00,23.490950338865808,23.490831697843486,23.490956175717933,23.490912737475742
2024-07-02 15:00:00,25.500277283307298,25.500308805168036,25.500393724164464,25.500326604213267
2024-07-16 15:00:00,43.36364886248887,43.41633402922852,43.41503309597754,43.39833866256498
2024-07-30 15:00:00,46.51605868263126,46.502247424583004,46.50219639171139,46.50683416630855
2024-08-13 15:00:00,31.83067715407251,31.830669851655294,31.830682402619434,31.830676469449077
2024-08-27 15:00:00,34.08284366825644,34.16791035929821,33.995694123995165,34.08214938384994
2024-09-10 15:00:00,37.717821990152764,37.72141968951523,37.683192052936505,37.707477910868164
2024-09-24 15:00:00,39.07130051193788,39.07128392371347,39.127780100668375,39.09012151210657
2024-10-08 15:00:00,46.13125281748478,46.13112456242456,46.131152581238666,46.131176653716004
2024-10-22 15:00:00,51.132410933325914,51.13243166508724,51.13226921329533,51.132370603902835
2024-11-05 15:00:00,61.22094540343182,61.22094540405445,61.22094540358212,61.22094540368946
2024-11-19 15:00:00,70.27735953343745,70.28206191139174,70.27664702722682,70.27868949068534
2024-12-03 15:00:00,74.44478720286837,74.43608748108603,74.43437516186802,74.43841661527414
2024-12-17 15:00:00,64.23096503618615,64.26932462974703,64.203683855751,64.23465784056138
2024-12-31 15:00:00,38.033976158786324,38.034000366212176,38.033959281295594,38.03397860209803
2025-01-14 15:00:00,27.800366799649034,27.80037102761134,27.800337093375077,27.800358306878483
2025-01-28 15:00:00,43.75495416146157,43.714833831933845,43.67211086883087,43.713966287408766
2025-02-11 15:00:00,44.85104162152333,44.68561826978069,44.862638499213645,44.799766130172564
2025-02-25 15:00:00,33.18615598398528,33.186453531053594,33.18975148594863,33.18745366699583
2025-03-11 15:00:00,33.22478688834035,33.22468666163899,33.22438146410151,33.22461833802695
2025-03-25 15:00:00,43.841119577918526,43.85055009695411,43.84467742267631,43.84544903251631
2025-04-08 15:00:00,33.02010941145003,33.05712678228169,33.03031555591005,33.03585058321392
2025-04-22 15:00:00,37.1798176224813,37.17980081891976,37.17971092724802,37.17977645621636
2025-05-06 15:00:00,55.87042633266277,55.871211700348844,55.87239963000554,55.87134588767238
2025-05-20 15:00:00,63.012223701825604,63.01067905847862,63.011665471903136,63.01152274406912
2025-06-03 15:00:00,62.33083182426961,62.33023738664673,62.330119080007194,62.33039609697451
2025-06-17 15:00:00,48.76543425442015,48.76664042116281,48.76640747705805,48.766160717547
2025-07-01 15:00:00,51.26725780674192,51.26725780674192,51.26725780674192,51.26725780674192
2025-07-15 15:00:00,49.37602571961143,49.37814657832895,49.37418616710884,49.37611948834974
2025-07-29 15:00:00,72.87005777262661,72.86998992509554,72.87008603466101,72.87004457746106
2025-08-12 15:00:00,67.45177318877697,67.45168788510894,67.45533685369807,67.452932642528
2025-08-26 15:00:00,51.545771319542304,51.545771509664135,51.54577154804069,51.54577145908238
2025-09-09 15:00:00,46.22052625893726,46.22055952453136,46.22050024397492,46.22052867581451
2025-09-23 15:00:00,44.713273879291336,44.70819352834143,44.718116786916994,44.71319473151659
2025-10-07 15:00:00,51.8036310066801,51.80357062082209,51.803707155958314,51.80363626115351
2025-10-21 15:00:00,32.63348801259554,32.63351946104159,32.63348708048148,32.633498184706205
2025-11-04 15:00:00,26.872117825506233,26.87225244191862,26.86805129811008,26.870807188511645
