https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1700042400000,2023-11-15 10:00:00,LRC/USD,0.23769,0.23769,0.23769,0.23769,0.0,0.0
1700038800000,2023-11-15 09:00:00,LRC/USD,0.23161,0.23769,0.23161,0.23769,16.786671,3.9900238299899997
1700035200000,2023-11-15 08:00:00,LRC/USD,0.23161,0.23161,0.23161,0.23161,0.0,0.0
1700031600000,2023-11-15 07:00:00,LRC/USD,0.23161,0.23161,0.23161,0.23161,0.0,0.0
1700028000000,2023-11-15 06:00:00,LRC/USD,0.23161,0.23161,0.23161,0.23161,0.0,0.0
1700024400000,2023-11-15 05:00:00,LRC/USD,0.23161,0.23161,0.23161,0.23161,0.0,0.0
1700020800000,2023-11-15 04:00:00,LRC/USD,0.23161,0.23161,0.23161,0.23161,0.0,0.0
1700017200000,2023-11-15 03:00:00,LRC/USD,0.23271,0.2393,0.23161,0.23161,162.180735,37.56268003335
1700013600000,2023-11-15 02:00:00,LRC/USD,0.22812,0.2393,0.22812,0.23271,4171.277475,970.69798120725
1700010000000,2023-11-15 01:00:00,LRC/USD,0.22812,0.22812,0.22812,0.22812,0.0,0.0
1700006400000,2023-11-15 00:00:00,LRC/USD,0.22812,0.22812,0.22812,0.22812,0.0,0.0
1700002800000,2023-11-14 23:00:00,LRC/USD,0.22812,0.22812,0.22812,0.22812,0.0,0.0
1699999200000,2023-11-14 22:00:00,LRC/USD,0.22145,0.22812,0.22145,0.22812,454.661335,103.7173437402
1699995600000,2023-11-14 21:00:00,LRC/USD,0.2196,0.22782,0.2196,0.22145,556.614976,123.2623864352
1699992000000,2023-11-14 20:00:00,LRC/USD,0.2196,0.2196,0.2196,0.2196,0.0,0.0
1699988400000,2023-11-14 19:00:00,LRC/USD,0.22144,0.22743,0.2196,0.2196,803.203872,176.38357029120002
1699984800000,2023-11-14 18:00:00,LRC/USD,0.225,0.225,0.22144,0.22144,670.838832,148.55055095808
