https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMA,Volume USD
1705568400000,2024-01-18 09:00:00,UMA/USD,2.0642,2.078,2.0642,2.075,13.304788,27.607435100000004
1705564800000,2024-01-18 08:00:00,UMA/USD,2.0642,2.0642,2.0642,2.0642,0.0,0.0
1705561200000,2024-01-18 07:00:00,UMA/USD,2.095,2.095,2.0642,2.0642,13.188381,27.2234560602
1705557600000,2024-01-18 06:00:00,UMA/USD,2.095,2.095,2.095,2.095,0.0,0.0
1705554000000,2024-01-18 05:00:00,UMA/USD,2.0976,2.1161,2.095,2.095,172.219382,360.79960529000004
1705550400000,2024-01-18 04:00:00,UMA/USD,2.0857,2.1585,2.0857,2.0976,590.966958,1239.6122911008
1705546800000,2024-01-18 03:00:00,UMA/USD,2.047,2.1089,2.047,2.0857,539.154467,1124.5144718218999
1705543200000,2024-01-18 02:00:00,UMA/USD,2.047,2.047,2.047,2.047,0.0,0.0
1705539600000,2024-01-18 01:00:00,UMA/USD,2.047,2.047,2.047,2.047,0.048811,0.09991611700000001
1705536000000,2024-01-18 00:00:00,UMA/USD,2.047,2.047,2.047,2.047,0.0,0.0
1705532400000,2024-01-17 23:00:00,UMA/USD,2.093,2.093,2.0373,2.047,847.723238,1735.2894681860002
1705528800000,2024-01-17 22:00:00,UMA/USD,2.093,2.093,2.093,2.093,0.0,0.0
1705525200000,2024-01-17 21:00:00,UMA/USD,2.0454,2.0934,2.0454,2.093,999.381388,2091.705245084
1705521600000,2024-01-17 20:00:00,UMA/USD,2.0268,2.0454,2.0268,2.0454,89.862622,183.8050070388
1705518000000,2024-01-17 19:00:00,UMA/USD,2.0243,2.0268,2.0243,2.0268,1087.6,2204.34768
1705514400000,2024-01-17 18:00:00,UMA/USD,2.0243,2.0243,2.0243,2.0243,0.0,0.0
1705510800000,2024-01-17 17:00:00,UMA/USD,2.0274,2.0274,2.0243,2.0243,364.36316,737.580344788
1705507200000,2024-01-17 16:00:00,UMA/USD,2.0274,2.0274,2.0274,2.0274,0.0,0.0
1705503600000,2024-01-17 15:00:00,UMA/USD,2.0199,2.0372,2.0099,2.0274,1751.71,3551.416854
1705500000000,2024-01-17 14:00:00,UMA/USD,1.9949,2.0199,1.9949,2.0199,0.301444,0.6088867356
1705496400000,2024-01-17 13:00:00,UMA/USD,1.9949,1.9949,1.9949,1.9949,0.0,0.0
1705492800000,2024-01-17 12:00:00,UMA/USD,1.9949,1.9949,1.9949,1.9949,0.0,0.0
1705489200000,2024-01-17 11:00:00,UMA/USD,1.9949,1.9949,1.9949,1.9949,0.0,0.0
1705485600000,2024-01-17 10:00:00,UMA/USD,1.9949,1.9949,1.9949,1.9949,0.0,0.0
1705482000000,2024-01-17 09:00:00,UMA/USD,1.9949,1.9949,1.9949,1.9949,0.0,0.0
1705478400000,2024-01-17 08:00:00,UMA/USD,2.0199,2.0199,1.9949,1.9949,7.519174,15.000000212599998
1705474800000,2024-01-17 07:00:00,UMA/USD,2.0199,2.0199,2.0199,2.0199,0.0,0.0
1705471200000,2024-01-17 06:00:00,UMA/USD,2.0199,2.0199,2.0199,2.0199,0.0,0.0
1705467600000,2024-01-17 05:00:00,UMA/USD,2.0199,2.0199,2.0199,2.0199,0.0,0.0
1705464000000,2024-01-17 04:00:00,UMA/USD,2.02,2.02,2.0199,2.0199,0.133333,0.2693193267
1705460400000,2024-01-17 03:00:00,UMA/USD,2.02,2.02,2.02,2.02,0.0,0.0
1705456800000,2024-01-17 02:00:00,UMA/USD,2.02,2.02,2.02,2.02,0.0,0.0
1705453200000,2024-01-17 01:00:00,UMA/USD,2.02,2.02,2.02,2.02,0.0,0.0
1705449600000,2024-01-17 00:00:00,UMA/USD,2.02,2.02,2.02,2.02,0.0,0.0
1705446000000,2024-01-16 23:00:00,UMA/USD,1.9823,2.02,1.9823,2.02,1725.770148,3486.05569896
1705442400000,2024-01-16 22:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705438800000,2024-01-16 21:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705435200000,2024-01-16 20:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705431600000,2024-01-16 19:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705428000000,2024-01-16 18:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705424400000,2024-01-16 17:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705420800000,2024-01-16 16:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705417200000,2024-01-16 15:00:00,UMA/USD,1.9823,1.9823,1.9823,1.9823,0.0,0.0
1705413600000,2024-01-16 14:00:00,UMA/USD,2.0133,2.0133,1.9823,1.9823,7.566968,15.0000006664
1705410000000,2024-01-16 13:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705406400000,2024-01-16 12:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705402800000,2024-01-16 11:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705399200000,2024-01-16 10:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705395600000,2024-01-16 09:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705392000000,2024-01-16 08:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705388400000,2024-01-16 07:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705384800000,2024-01-16 06:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705381200000,2024-01-16 05:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.111111,0.22369977630000001
1705377600000,2024-01-16 04:00:00,UMA/USD,2.0133,2.0133,2.0133,2.0133,0.0,0.0
1705374000000,2024-01-16 03:00:00,UMA/USD,1.9798,2.0133,1.9798,2.0133,0.499159,1.0049568147
1705370400000,2024-01-16 02:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705366800000,2024-01-16 01:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705363200000,2024-01-16 00:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705359600000,2024-01-15 23:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705356000000,2024-01-15 22:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705352400000,2024-01-15 21:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705348800000,2024-01-15 20:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705345200000,2024-01-15 19:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705341600000,2024-01-15 18:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705338000000,2024-01-15 17:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705334400000,2024-01-15 16:00:00,UMA/USD,1.9798,1.9798,1.9798,1.9798,0.0,0.0
1705330800000,2024-01-15 15:00:00,UMA/USD,2.0454,2.0454,1.9798,1.9798,0.526126,1.0416242547999999
1705327200000,2024-01-15 14:00:00,UMA/USD,2.0454,2.0454,2.0454,2.0454,0.0,0.0
1705323600000,2024-01-15 13:00:00,UMA/USD,2.0838,2.0838,2.0454,2.0454,267.73,547.614942
1705320000000,2024-01-15 12:00:00,UMA/USD,2.0838,2.0838,2.0838,2.0838,0.0,0.0
1705316400000,2024-01-15 11:00:00,UMA/USD,2.0027,2.0838,2.0027,2.0838,1409.635627,2937.3987195426002
1705312800000,2024-01-15 10:00:00,UMA/USD,2.0027,2.0027,2.0027,2.0027,0.0,0.0
1705309200000,2024-01-15 09:00:00,UMA/USD,2.0027,2.0027,2.0027,2.0027,0.0,0.0
1705305600000,2024-01-15 08:00:00,UMA/USD,2.0027,2.0027,2.0027,2.0027,0.0,0.0
1705302000000,2024-01-15 07:00:00,UMA/USD,2.0027,2.0027,2.0027,2.0027,0.0,0.0
1705298400000,2024-01-15 06:00:00,UMA/USD,2.0027,2.0027,2.0027,2.0027,0.0,0.0
1705294800000,2024-01-15 05:00:00,UMA/USD,1.9778,2.0027,1.9778,2.0027,0.111111,0.2225219997
1705291200000,2024-01-15 04:00:00,UMA/USD,1.9778,1.9778,1.9778,1.9778,0.0,0.0
1705287600000,2024-01-15 03:00:00,UMA/USD,1.9778,1.9778,1.9778,1.9778,0.0,0.0
1705284000000,2024-01-15 02:00:00,UMA/USD,2.0027,2.0027,1.9778,1.9778,86.57,171.218146
1705280400000,2024-01-15 01:00:00,UMA/USD,1.9442,2.0027,1.9442,2.0027,454.265298,909.7571123045999
1705276800000,2024-01-15 00:00:00,UMA/USD,1.9442,1.9442,1.9442,1.9442,0.0,0.0
1705273200000,2024-01-14 23:00:00,UMA/USD,1.9442,1.9442,1.9442,1.9442,0.0,0.0
1705269600000,2024-01-14 22:00:00,UMA/USD,1.9442,1.9442,1.9442,1.9442,0.0,0.0
1705266000000,2024-01-14 21:00:00,UMA/USD,1.9442,1.9442,1.9442,1.9442,0.34,0.6610280000000001
1705262400000,2024-01-14 20:00:00,UMA/USD,1.9543,1.9543,1.9442,1.9442,6.665686,12.9594267212
1705258800000,2024-01-14 19:00:00,UMA/USD,1.9933,2.0225,1.9543,1.9543,203.906356,398.4941915308
1705255200000,2024-01-14 18:00:00,UMA/USD,1.9933,1.9933,1.9933,1.9933,0.0,0.0
1705251600000,2024-01-14 17:00:00,UMA/USD,2.0002,2.0002,1.9933,1.9933,143.74,286.51694200000003
1705248000000,2024-01-14 16:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705244400000,2024-01-14 15:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705240800000,2024-01-14 14:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705237200000,2024-01-14 13:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705233600000,2024-01-14 12:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705230000000,2024-01-14 11:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705226400000,2024-01-14 10:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705222800000,2024-01-14 09:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705219200000,2024-01-14 08:00:00,UMA/USD,2.0002,2.0002,2.0002,2.0002,0.0,0.0
1705215600000,2024-01-14 07:00:00,UMA/USD,1.9943,2.0066,1.9943,2.0002,191.100451,382.2391220902
1705212000000,2024-01-14 06:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705208400000,2024-01-14 05:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705204800000,2024-01-14 04:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705201200000,2024-01-14 03:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705197600000,2024-01-14 02:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705194000000,2024-01-14 01:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705190400000,2024-01-14 00:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.37,0.737891
1705186800000,2024-01-13 23:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705183200000,2024-01-13 22:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705179600000,2024-01-13 21:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705176000000,2024-01-13 20:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705172400000,2024-01-13 19:00:00,UMA/USD,1.9943,1.9943,1.9943,1.9943,0.0,0.0
1705168800000,2024-01-13 18:00:00,UMA/USD,2.0025,2.0025,1.9943,1.9943,0.943375,1.8813727624999999
1705165200000,2024-01-13 17:00:00,UMA/USD,2.0025,2.0025,2.0025,2.0025,0.0,0.0
1705161600000,2024-01-13 16:00:00,UMA/USD,2.0025,2.0025,2.0025,2.0025,0.0,0.0
1705158000000,2024-01-13 15:00:00,UMA/USD,1.9912,2.0025,1.9912,2.0025,0.511203,1.0236840075
1705154400000,2024-01-13 14:00:00,UMA/USD,1.9912,1.9912,1.9912,1.9912,0.0,0.0
1705150800000,2024-01-13 13:00:00,UMA/USD,1.9912,1.9912,1.9912,1.9912,0.0,0.0
1705147200000,2024-01-13 12:00:00,UMA/USD,1.9839,1.9912,1.9839,1.9912,5.128731,10.2123291672
1705143600000,2024-01-13 11:00:00,UMA/USD,1.9839,1.9839,1.9839,1.9839,0.0,0.0
1705140000000,2024-01-13 10:00:00,UMA/USD,1.9839,1.9839,1.9839,1.9839,0.0,0.0
1705136400000,2024-01-13 09:00:00,UMA/USD,1.9839,1.9839,1.9839,1.9839,0.0,0.0
1705132800000,2024-01-13 08:00:00,UMA/USD,1.9839,1.9839,1.9839,1.9839,0.0,0.0
1705129200000,2024-01-13 07:00:00,UMA/USD,1.9774,1.9839,1.9774,1.9839,6.588995,13.0719071805
1705125600000,2024-01-13 06:00:00,UMA/USD,1.9388,1.9774,1.9388,1.9774,5.237796,10.357217810400002
1705122000000,2024-01-13 05:00:00,UMA/USD,1.9388,1.9388,1.9388,1.9388,0.0,0.0
1705118400000,2024-01-13 04:00:00,UMA/USD,1.9388,1.9388,1.9388,1.9388,0.0,0.0
1705114800000,2024-01-13 03:00:00,UMA/USD,1.9487,1.9487,1.9373,1.9388,168.16,326.028608
1705111200000,2024-01-13 02:00:00,UMA/USD,1.9092,1.9498,1.9092,1.9487,5.375913,10.4760416631
1705107600000,2024-01-13 01:00:00,UMA/USD,1.9498,1.9498,1.9092,1.9092,5.237795,9.999998214
1705104000000,2024-01-13 00:00:00,UMA/USD,1.9498,1.9498,1.9498,1.9498,0.0,0.0
1705100400000,2024-01-12 23:00:00,UMA/USD,1.9092,1.9498,1.9092,1.9498,5.237795,10.212652691
1705096800000,2024-01-12 22:00:00,UMA/USD,1.9498,1.9498,1.9026,1.9092,18.50899,35.337363708
1705093200000,2024-01-12 21:00:00,UMA/USD,1.991,1.991,1.9498,1.9498,9.660012,18.8350913976
1705089600000,2024-01-12 20:00:00,UMA/USD,1.991,1.991,1.991,1.991,0.0,0.0
1705086000000,2024-01-12 19:00:00,UMA/USD,2.0033,2.0033,1.991,1.991,0.249588,0.496929708
1705082400000,2024-01-12 18:00:00,UMA/USD,1.9913,2.0033,1.9913,2.0033,274.31,549.525223
1705078800000,2024-01-12 17:00:00,UMA/USD,1.9912,2.0031,1.9408,1.9913,1260.733594,2510.4988057322003
1705075200000,2024-01-12 16:00:00,UMA/USD,2.0174,2.0212,1.9912,1.9912,59.071168,117.62250972160001
1705071600000,2024-01-12 15:00:00,UMA/USD,2.0767,2.0767,2.0174,2.0174,109.37487,220.65286273799998
1705068000000,2024-01-12 14:00:00,UMA/USD,2.0973,2.0973,2.0767,2.0767,7.699393,15.9893294431
1705064400000,2024-01-12 13:00:00,UMA/USD,2.0781,2.1007,2.0781,2.0973,51.430411,107.8650009903
1705060800000,2024-01-12 12:00:00,UMA/USD,2.1372,2.1372,2.0781,2.0781,108.357979,225.1787161599
1705057200000,2024-01-12 11:00:00,UMA/USD,2.0709,2.1372,2.0709,2.1372,1820.841408,3891.5022571776
