https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1695268800000,2023-09-21 04:00:00,MATIC/USD,0.53869,0.54162,0.53869,0.54102,3250.307586,1758.4814101777197
1695265200000,2023-09-21 03:00:00,MATIC/USD,0.53724,0.53869,0.53724,0.53869,5602.749498,3018.14512707762
1695261600000,2023-09-21 02:00:00,MATIC/USD,0.53786,0.53933,0.53583,0.53724,5595.028598,3005.8731639895204
1695258000000,2023-09-21 01:00:00,MATIC/USD,0.5397,0.54104,0.53625,0.53786,15264.988014,8210.42645321004
1695254400000,2023-09-21 00:00:00,MATIC/USD,0.54031,0.54134,0.53946,0.5397,6548.04023,3533.9773121309995
1695250800000,2023-09-20 23:00:00,MATIC/USD,0.54241,0.54241,0.54031,0.54031,4404.425642,2379.75521862902
1695247200000,2023-09-20 22:00:00,MATIC/USD,0.545,0.545,0.54216,0.54241,210.384994,114.11492459553999
1695243600000,2023-09-20 21:00:00,MATIC/USD,0.54143,0.545,0.54138,0.545,23512.533977,12814.331017465
1695240000000,2023-09-20 20:00:00,MATIC/USD,0.5393,0.54143,0.53351,0.54143,227880.471734,123381.3238109396
1695236400000,2023-09-20 19:00:00,MATIC/USD,0.54477,0.54477,0.53487,0.5393,153580.399232,82825.9093058176
1695232800000,2023-09-20 18:00:00,MATIC/USD,0.54307,0.5499,0.54164,0.54477,6591.371223,3590.78130115371
1695229200000,2023-09-20 17:00:00,MATIC/USD,0.54207,0.54488,0.54207,0.54307,190.442805,103.42377411135
1695225600000,2023-09-20 16:00:00,MATIC/USD,0.54235,0.54464,0.54063,0.54207,3266.701516,1770.7808907781202
1695222000000,2023-09-20 15:00:00,MATIC/USD,0.53923,0.54258,0.53923,0.54235,20930.846007,11351.84433189645
1695218400000,2023-09-20 14:00:00,MATIC/USD,0.54215,0.54406,0.53923,0.53923,1473.078774,794.3282673040201
1695214800000,2023-09-20 13:00:00,MATIC/USD,0.53725,0.54215,0.53562,0.54215,13197.235483,7154.88121710845
1695211200000,2023-09-20 12:00:00,MATIC/USD,0.53944,0.53944,0.53529,0.53725,3392.460836,1822.5995841410002
1695207600000,2023-09-20 11:00:00,MATIC/USD,0.53848,0.53968,0.53848,0.53944,6716.069992,3622.91679648448
1695204000000,2023-09-20 10:00:00,MATIC/USD,0.54016,0.54016,0.53848,0.53848,46.380553,24.97500017944
1695200400000,2023-09-20 09:00:00,MATIC/USD,0.54282,0.54373,0.53887,0.54016,185.795026,100.35904124416
1695196800000,2023-09-20 08:00:00,MATIC/USD,0.5388,0.54282,0.5388,0.54282,2390.49551,1297.6087727382
1695193200000,2023-09-20 07:00:00,MATIC/USD,0.53974,0.53974,0.53874,0.5388,4433.825629,2388.9452489051996
1695189600000,2023-09-20 06:00:00,MATIC/USD,0.53884,0.54007,0.53842,0.53974,775.296266,418.45840661084
1695186000000,2023-09-20 05:00:00,MATIC/USD,0.54004,0.54066,0.53884,0.53884,584.879345,315.15638625979994
1695182400000,2023-09-20 04:00:00,MATIC/USD,0.53975,0.54125,0.53864,0.54004,1931.494424,1043.0842487369598
1695178800000,2023-09-20 03:00:00,MATIC/USD,0.54302,0.54302,0.53857,0.53975,10092.734376,5447.553379446
1695175200000,2023-09-20 02:00:00,MATIC/USD,0.54781,0.54781,0.54199,0.54302,11954.252668,6491.398283777359
1695171600000,2023-09-20 01:00:00,MATIC/USD,0.54361,0.54829,0.54361,0.54781,3092.875791,1694.3082870677101
1695168000000,2023-09-20 00:00:00,MATIC/USD,0.54379,0.547,0.54351,0.54361,2112.365629,1148.30307958069
1695164400000,2023-09-19 23:00:00,MATIC/USD,0.54292,0.54465,0.54292,0.54379,10966.118039,5963.26532842781
1695160800000,2023-09-19 22:00:00,MATIC/USD,0.54378,0.54378,0.54246,0.54292,6486.362606,3521.5759860495195
1695157200000,2023-09-19 21:00:00,MATIC/USD,0.54325,0.54378,0.54214,0.54378,2770.739042,1506.6724762587603
1695153600000,2023-09-19 20:00:00,MATIC/USD,0.54045,0.54368,0.54045,0.54325,13633.459873,7406.37707600725
1695150000000,2023-09-19 19:00:00,MATIC/USD,0.54012,0.54148,0.53887,0.54045,3638.169613,1966.24876734585
1695146400000,2023-09-19 18:00:00,MATIC/USD,0.53997,0.5415,0.53916,0.54012,1758.36978,949.7306855736001
