https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume USD
1715691600000,2024-05-14 13:00:00,STORJ/USD,0.50833,0.50833,0.50013,0.50013,1097.7,548.992701
1715688000000,2024-05-14 12:00:00,STORJ/USD,0.50391,0.50833,0.50391,0.50833,7.849201,3.9899843443299994
1715684400000,2024-05-14 11:00:00,STORJ/USD,0.50669,0.50669,0.50391,0.50391,668.2,336.712662
1715680800000,2024-05-14 10:00:00,STORJ/USD,0.51066,0.51066,0.50669,0.50669,413.206551,209.36762732619
1715677200000,2024-05-14 09:00:00,STORJ/USD,0.51066,0.51066,0.51066,0.51066,0.0,0.0
1715673600000,2024-05-14 08:00:00,STORJ/USD,0.50238,0.51106,0.50238,0.51066,8316.0,4246.64856
1715670000000,2024-05-14 07:00:00,STORJ/USD,0.50238,0.50238,0.50238,0.50238,0.0,0.0
1715666400000,2024-05-14 06:00:00,STORJ/USD,0.51802,0.51802,0.50238,0.50238,1768.2,888.3083160000001
1715662800000,2024-05-14 05:00:00,STORJ/USD,0.51489,0.51802,0.51489,0.51802,70.03444,36.2792406088
1715659200000,2024-05-14 04:00:00,STORJ/USD,0.50814,0.51489,0.50814,0.51489,35.01722,18.030016405799998
1715655600000,2024-05-14 03:00:00,STORJ/USD,0.50506,0.50814,0.50506,0.50814,657.7,334.203678
1715652000000,2024-05-14 02:00:00,STORJ/USD,0.50506,0.50506,0.50506,0.50506,0.0,0.0
1715648400000,2024-05-14 01:00:00,STORJ/USD,0.51243,0.51243,0.50506,0.50506,950.6,480.110036
1715644800000,2024-05-14 00:00:00,STORJ/USD,0.51143,0.51243,0.51143,0.51243,35.01722,17.9438740446
1715641200000,2024-05-13 23:00:00,STORJ/USD,0.50906,0.51143,0.50906,0.51143,35.01722,17.908856824600004
1715637600000,2024-05-13 22:00:00,STORJ/USD,0.50774,0.50906,0.50774,0.50906,128.621359,65.47598901254
1715634000000,2024-05-13 21:00:00,STORJ/USD,0.5102,0.51039,0.50774,0.50774,9006.208281,4572.812192594939
