https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1761958800000,2025-11-01 01:00:00,CUBE/USD,0.242,0.242,0.242,0.242,0.319294,0.07726914800000001
1761955200000,2025-11-01 00:00:00,CUBE/USD,0.2367,0.245,0.2367,0.242,52.477762,12.699618403999999
1761951600000,2025-10-31 23:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761948000000,2025-10-31 22:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761944400000,2025-10-31 21:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761940800000,2025-10-31 20:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761937200000,2025-10-31 19:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761933600000,2025-10-31 18:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761930000000,2025-10-31 17:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761926400000,2025-10-31 16:00:00,CUBE/USD,0.2367,0.2367,0.2367,0.2367,0.0,0.0
1761922800000,2025-10-31 15:00:00,CUBE/USD,0.258,0.258,0.2367,0.2367,187.735951,44.4370996017
1761919200000,2025-10-31 14:00:00,CUBE/USD,0.258,0.258,0.258,0.258,0.0,0.0
1761915600000,2025-10-31 13:00:00,CUBE/USD,0.258,0.258,0.258,0.258,0.0,0.0
1761912000000,2025-10-31 12:00:00,CUBE/USD,0.275,0.275,0.258,0.258,1.0,0.258
1761908400000,2025-10-31 11:00:00,CUBE/USD,0.275,0.275,0.275,0.275,88.651907,24.379274425000002
1761904800000,2025-10-31 10:00:00,CUBE/USD,0.275,0.275,0.275,0.275,377.896047,103.92141292500001
1761901200000,2025-10-31 09:00:00,CUBE/USD,0.275,0.275,0.275,0.275,177.303815,48.758549125
1761897600000,2025-10-31 08:00:00,CUBE/USD,0.275,0.275,0.275,0.275,70.921526,19.50341965
1761894000000,2025-10-31 07:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.24838,0.0683045
1761890400000,2025-10-31 06:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761886800000,2025-10-31 05:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761883200000,2025-10-31 04:00:00,CUBE/USD,0.275,0.275,0.275,0.275,70.921526,19.50341965
1761879600000,2025-10-31 03:00:00,CUBE/USD,0.258,0.275,0.258,0.275,1067.688264,293.6142726
1761876000000,2025-10-31 02:00:00,CUBE/USD,0.258,0.258,0.258,0.258,0.0,0.0
1761872400000,2025-10-31 01:00:00,CUBE/USD,0.258,0.258,0.258,0.258,0.0,0.0
1761868800000,2025-10-31 00:00:00,CUBE/USD,0.275,0.275,0.258,0.258,17.883593,4.613966994
1761865200000,2025-10-30 23:00:00,CUBE/USD,0.258,0.275,0.258,0.275,466.060835,128.16672962500002
1761861600000,2025-10-30 22:00:00,CUBE/USD,0.258,0.258,0.258,0.258,0.0,0.0
1761858000000,2025-10-30 21:00:00,CUBE/USD,0.258,0.258,0.258,0.258,0.0,0.0
1761854400000,2025-10-30 20:00:00,CUBE/USD,0.255,0.258,0.255,0.258,150.0,38.7
1761850800000,2025-10-30 19:00:00,CUBE/USD,0.255,0.255,0.255,0.255,80.054151,20.413808505000002
1761847200000,2025-10-30 18:00:00,CUBE/USD,0.2471,0.255,0.2471,0.255,19.120729,4.875785895
1761843600000,2025-10-30 17:00:00,CUBE/USD,0.2484,0.2484,0.2471,0.2471,137.957545,34.0893093695
1761840000000,2025-10-30 16:00:00,CUBE/USD,0.255,0.255,0.2484,0.2484,22.225664,5.5208549376
1761836400000,2025-10-30 15:00:00,CUBE/USD,0.255,0.255,0.255,0.255,0.321546,0.08199423
1761832800000,2025-10-30 14:00:00,CUBE/USD,0.255,0.255,0.255,0.255,0.0,0.0
1761829200000,2025-10-30 13:00:00,CUBE/USD,0.2484,0.255,0.2484,0.255,780.0,198.9
1761825600000,2025-10-30 12:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761822000000,2025-10-30 11:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761818400000,2025-10-30 10:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761814800000,2025-10-30 09:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761811200000,2025-10-30 08:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761807600000,2025-10-30 07:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761804000000,2025-10-30 06:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761800400000,2025-10-30 05:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761796800000,2025-10-30 04:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761793200000,2025-10-30 03:00:00,CUBE/USD,0.2484,0.2484,0.2484,0.2484,0.0,0.0
1761789600000,2025-10-30 02:00:00,CUBE/USD,0.274,0.274,0.2484,0.2484,23.249604,5.775201633600001
1761786000000,2025-10-30 01:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761782400000,2025-10-30 00:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761778800000,2025-10-29 23:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761775200000,2025-10-29 22:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761771600000,2025-10-29 21:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761768000000,2025-10-29 20:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761764400000,2025-10-29 19:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761760800000,2025-10-29 18:00:00,CUBE/USD,0.274,0.274,0.274,0.274,0.0,0.0
1761757200000,2025-10-29 17:00:00,CUBE/USD,0.275,0.275,0.274,0.274,3.558887,0.975135038
1761753600000,2025-10-29 16:00:00,CUBE/USD,0.275,0.275,0.275,0.275,184.395967,50.708890925000006
1761750000000,2025-10-29 15:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761746400000,2025-10-29 14:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761742800000,2025-10-29 13:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761739200000,2025-10-29 12:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761735600000,2025-10-29 11:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761732000000,2025-10-29 10:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761728400000,2025-10-29 09:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761724800000,2025-10-29 08:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
1761721200000,2025-10-29 07:00:00,CUBE/USD,0.275,0.275,0.275,0.275,0.0,0.0
