https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume INJ,Volume USD
1764252000000,2025-11-27 14:00:00,INJ/USD,6.0695,6.0695,5.9896,6.0053,83.572613,501.87861284890005
1764248400000,2025-11-27 13:00:00,INJ/USD,6.0695,6.0695,6.0695,6.0695,0.0,0.0
1764244800000,2025-11-27 12:00:00,INJ/USD,6.0847,6.0847,6.0695,6.0695,2.0,12.139
1764241200000,2025-11-27 11:00:00,INJ/USD,6.0847,6.0847,6.0847,6.0847,0.0,0.0
1764237600000,2025-11-27 10:00:00,INJ/USD,6.0847,6.0847,6.0847,6.0847,0.0,0.0
1764234000000,2025-11-27 09:00:00,INJ/USD,5.9743,6.0847,5.9743,6.0847,2.081122,12.6630030334
1764230400000,2025-11-27 08:00:00,INJ/USD,6.0168,6.0168,5.9743,5.9743,1.683466,10.0575309238
1764226800000,2025-11-27 07:00:00,INJ/USD,6.0168,6.0168,6.0168,6.0168,0.0,0.0
1764223200000,2025-11-27 06:00:00,INJ/USD,6.0168,6.0168,6.0168,6.0168,0.0,0.0
1764219600000,2025-11-27 05:00:00,INJ/USD,6.0168,6.0168,6.0168,6.0168,0.0,0.0
1764216000000,2025-11-27 04:00:00,INJ/USD,6.0168,6.0168,6.0168,6.0168,0.0,0.0
1764212400000,2025-11-27 03:00:00,INJ/USD,6.0168,6.0168,6.0168,6.0168,0.0,0.0
1764208800000,2025-11-27 02:00:00,INJ/USD,6.0168,6.0168,6.0168,6.0168,0.0,0.0
1764205200000,2025-11-27 01:00:00,INJ/USD,6.0055,6.0168,6.0055,6.0168,88.202526,530.6969584368001
1764201600000,2025-11-27 00:00:00,INJ/USD,6.0055,6.0055,6.0055,6.0055,0.825926,4.960098593
1764198000000,2025-11-26 23:00:00,INJ/USD,5.9833,6.0055,5.9833,6.0055,23.0,138.1265
1764194400000,2025-11-26 22:00:00,INJ/USD,5.9833,5.9833,5.9833,5.9833,0.0,0.0
1764190800000,2025-11-26 21:00:00,INJ/USD,6.0664,6.0664,5.9833,5.9833,236.570131,1415.4700648123
1764187200000,2025-11-26 20:00:00,INJ/USD,6.0664,6.0664,6.0664,6.0664,0.0,0.0
1764183600000,2025-11-26 19:00:00,INJ/USD,6.0664,6.0664,6.0664,6.0664,0.0,0.0
1764180000000,2025-11-26 18:00:00,INJ/USD,6.0144,6.0841,6.0144,6.0664,66.103059,401.00759711759997
1764176400000,2025-11-26 17:00:00,INJ/USD,5.7987,6.0144,5.7987,6.0144,5.93038,35.667677472
1764172800000,2025-11-26 16:00:00,INJ/USD,5.8026,5.8026,5.7987,5.7987,3.510602,20.3569278174
1764169200000,2025-11-26 15:00:00,INJ/USD,5.7828,5.8232,5.7828,5.8026,773.917642,4490.7345094692
1764165600000,2025-11-26 14:00:00,INJ/USD,5.7828,5.7828,5.7828,5.7828,0.0,0.0
1764162000000,2025-11-26 13:00:00,INJ/USD,5.7828,5.7828,5.7828,5.7828,0.0,0.0
1764158400000,2025-11-26 12:00:00,INJ/USD,5.923,5.923,5.7726,5.7828,11.009741,63.6671302548
1764154800000,2025-11-26 11:00:00,INJ/USD,5.923,5.923,5.923,5.923,0.0,0.0
1764151200000,2025-11-26 10:00:00,INJ/USD,5.923,5.923,5.923,5.923,0.0,0.0
1764147600000,2025-11-26 09:00:00,INJ/USD,5.923,5.923,5.923,5.923,0.0,0.0
1764144000000,2025-11-26 08:00:00,INJ/USD,5.923,5.923,5.923,5.923,0.0,0.0
1764140400000,2025-11-26 07:00:00,INJ/USD,5.923,5.923,5.923,5.923,0.0,0.0
1764136800000,2025-11-26 06:00:00,INJ/USD,5.9236,5.9236,5.923,5.923,11.92893,70.65505239
1764133200000,2025-11-26 05:00:00,INJ/USD,5.9236,5.9236,5.9236,5.9236,0.0,0.0
