https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1691586000000,2023-08-09 13:00:00,BTCG/USD,29975.48,30114.53,29975.48,30114.53,0.00079734,24.0115193502
1691582400000,2023-08-09 12:00:00,BTCG/USD,29807.67,29975.48,29807.67,29975.48,0.00493955,148.065382234
1691578800000,2023-08-09 11:00:00,BTCG/USD,29807.67,29807.67,29807.67,29807.67,0.0,0.0
1691575200000,2023-08-09 10:00:00,BTCG/USD,29735.09,29807.67,29735.09,29807.67,0.03288411,980.1986991237
1691571600000,2023-08-09 09:00:00,BTCG/USD,29735.09,29735.09,29735.09,29735.09,0.0,0.0
1691568000000,2023-08-09 08:00:00,BTCG/USD,29735.09,29735.09,29735.09,29735.09,0.0,0.0
1691564400000,2023-08-09 07:00:00,BTCG/USD,29735.09,29735.09,29735.09,29735.09,0.0,0.0
1691560800000,2023-08-09 06:00:00,BTCG/USD,29735.09,29735.09,29735.09,29735.09,0.0,0.0
1691557200000,2023-08-09 05:00:00,BTCG/USD,29735.09,29735.09,29735.09,29735.09,0.0,0.0
1691553600000,2023-08-09 04:00:00,BTCG/USD,29671.18,29735.09,29671.18,29735.09,0.00100488,29.880197239200005
1691550000000,2023-08-09 03:00:00,BTCG/USD,29671.18,29671.18,29671.18,29671.18,0.0,0.0
1691546400000,2023-08-09 02:00:00,BTCG/USD,29807.72,29848.97,29671.18,29671.18,0.30801978,9139.310335940401
1691542800000,2023-08-09 01:00:00,BTCG/USD,29807.72,29807.72,29807.72,29807.72,0.0,0.0
1691539200000,2023-08-09 00:00:00,BTCG/USD,29807.72,29807.72,29807.72,29807.72,0.0,0.0
1691535600000,2023-08-08 23:00:00,BTCG/USD,29978.67,29978.67,29799.11,29807.72,0.06811322,2030.2997900584
1691532000000,2023-08-08 22:00:00,BTCG/USD,29978.67,29978.67,29978.67,29978.67,0.0,0.0
1691528400000,2023-08-08 21:00:00,BTCG/USD,29978.67,29978.67,29978.67,29978.67,0.0,0.0
1691524800000,2023-08-08 20:00:00,BTCG/USD,29927.3,29978.67,29927.3,29978.67,0.00362245,108.5962331415
1691521200000,2023-08-08 19:00:00,BTCG/USD,29927.3,29927.3,29927.3,29927.3,0.0,0.0
1691517600000,2023-08-08 18:00:00,BTCG/USD,29761.13,29927.3,29761.13,29927.3,0.61744161,18478.360294953
1691514000000,2023-08-08 17:00:00,BTCG/USD,29671.18,29761.13,29671.18,29761.13,0.00125155,37.2475422515
1691510400000,2023-08-08 16:00:00,BTCG/USD,29379.36,29671.18,29379.36,29671.18,0.00025456,7.553095580799999
1691506800000,2023-08-08 15:00:00,BTCG/USD,29379.36,29379.36,29379.36,29379.36,0.0,0.0
1691503200000,2023-08-08 14:00:00,BTCG/USD,29379.36,29379.36,29379.36,29379.36,0.0,0.0
1691499600000,2023-08-08 13:00:00,BTCG/USD,29362.48,29379.36,29362.48,29379.36,0.00169509,49.8006593424
1691496000000,2023-08-08 12:00:00,BTCG/USD,29366.89,29366.89,29362.48,29362.48,0.00476704,139.9721166592
1691492400000,2023-08-08 11:00:00,BTCG/USD,29147.35,29366.89,29147.35,29366.89,0.01488433,437.1064818337
1691488800000,2023-08-08 10:00:00,BTCG/USD,29147.35,29147.35,29147.35,29147.35,0.0,0.0
1691485200000,2023-08-08 09:00:00,BTCG/USD,29195.88,29195.88,29147.35,29147.35,0.00046024,13.414776364
1691481600000,2023-08-08 08:00:00,BTCG/USD,29195.88,29195.88,29195.88,29195.88,0.0,0.0
1691478000000,2023-08-08 07:00:00,BTCG/USD,29199.0,29199.0,29195.88,29195.88,5.685e-05,1.659785778
1691474400000,2023-08-08 06:00:00,BTCG/USD,29195.88,29210.0,29195.88,29199.0,0.00012772,3.7292962800000002
1691470800000,2023-08-08 05:00:00,BTCG/USD,29143.78,29195.88,29143.78,29195.88,0.00102344,29.880231427200002
1691467200000,2023-08-08 04:00:00,BTCG/USD,29143.78,29143.78,29143.78,29143.78,0.0,0.0
1691463600000,2023-08-08 03:00:00,BTCG/USD,29143.78,29143.78,29143.78,29143.78,0.0,0.0
1691460000000,2023-08-08 02:00:00,BTCG/USD,29143.78,29143.78,29143.78,29143.78,0.0,0.0
1691456400000,2023-08-08 01:00:00,BTCG/USD,29143.78,29143.78,29143.78,29143.78,0.0,0.0
1691452800000,2023-08-08 00:00:00,BTCG/USD,29143.78,29143.78,29143.78,29143.78,0.0,0.0
1691449200000,2023-08-07 23:00:00,BTCG/USD,29147.98,29147.98,29143.78,29143.78,0.00119606,34.8577095068
1691445600000,2023-08-07 22:00:00,BTCG/USD,29147.98,29147.98,29147.98,29147.98,0.0,0.0
1691442000000,2023-08-07 21:00:00,BTCG/USD,29147.98,29147.98,29147.98,29147.98,0.0,0.0
1691438400000,2023-08-07 20:00:00,BTCG/USD,29075.05,29147.98,29075.05,29147.98,0.11104884,3236.8493673432
1691434800000,2023-08-07 19:00:00,BTCG/USD,29053.43,29075.05,29053.43,29075.05,0.00950624,276.39440331199995
1691431200000,2023-08-07 18:00:00,BTCG/USD,28758.29,29062.59,28758.29,29053.43,0.00032236,9.3656636948
1691427600000,2023-08-07 17:00:00,BTCG/USD,28758.29,28758.29,28758.29,28758.29,0.0,0.0
1691424000000,2023-08-07 16:00:00,BTCG/USD,28758.29,28758.29,28758.29,28758.29,0.0,0.0
1691420400000,2023-08-07 15:00:00,BTCG/USD,29019.9,29019.9,28758.29,28758.29,0.00212743,61.181248894700005
1691416800000,2023-08-07 14:00:00,BTCG/USD,29019.9,29019.9,29019.9,29019.9,0.0,0.0
1691413200000,2023-08-07 13:00:00,BTCG/USD,29001.92,29021.3,29001.92,29019.9,0.01619687,470.031547713
1691409600000,2023-08-07 12:00:00,BTCG/USD,29062.59,29062.59,28978.7,29001.92,0.00583924,169.34917134079998
1691406000000,2023-08-07 11:00:00,BTCG/USD,29062.59,29062.59,29062.59,29062.59,0.0,0.0
1691402400000,2023-08-07 10:00:00,BTCG/USD,28608.4,29062.59,28608.4,29062.59,0.00025456,7.3981729104
1691398800000,2023-08-07 09:00:00,BTCG/USD,29007.4,29007.4,28608.4,28608.4,0.00099,28.322316
1691395200000,2023-08-07 08:00:00,BTCG/USD,29050.0,29050.0,29007.4,29007.4,0.00102714,29.794660836
1691391600000,2023-08-07 07:00:00,BTCG/USD,29050.0,29050.0,29050.0,29050.0,0.0,0.0
1691388000000,2023-08-07 06:00:00,BTCG/USD,29075.44,29075.44,29050.0,29050.0,0.00110131,31.993055500000004
1691384400000,2023-08-07 05:00:00,BTCG/USD,29119.29,29124.79,29075.44,29075.44,0.00950814,276.45335408159997
1691380800000,2023-08-07 04:00:00,BTCG/USD,29102.53,29119.29,29102.53,29119.29,0.00832794,242.50369996260002
1691377200000,2023-08-07 03:00:00,BTCG/USD,29117.66,29125.32,29102.53,29102.53,0.034779,1012.1568908699999
1691373600000,2023-08-07 02:00:00,BTCG/USD,28981.92,29117.66,28981.92,29117.66,0.0036,104.823576
1691370000000,2023-08-07 01:00:00,BTCG/USD,28981.92,28981.92,28981.92,28981.92,0.0,0.0
1691366400000,2023-08-07 00:00:00,BTCG/USD,29050.0,29050.0,28981.92,28981.92,0.02823828,818.3995718976
1691362800000,2023-08-06 23:00:00,BTCG/USD,29135.0,29135.0,29050.0,29050.0,0.02753872,799.999816
1691359200000,2023-08-06 22:00:00,BTCG/USD,29135.0,29135.0,29135.0,29135.0,0.0,0.0
1691355600000,2023-08-06 21:00:00,BTCG/USD,29052.5,29135.0,29052.5,29135.0,0.01499587,436.90467244999996
1691352000000,2023-08-06 20:00:00,BTCG/USD,29061.06,29061.06,29052.5,29052.5,0.00017936,5.2108564
1691348400000,2023-08-06 19:00:00,BTCG/USD,29061.06,29061.06,29061.06,29061.06,0.0,0.0
1691344800000,2023-08-06 18:00:00,BTCG/USD,29056.65,29061.06,29056.65,29061.06,0.01457907,423.6832280142
1691341200000,2023-08-06 17:00:00,BTCG/USD,28959.09,29056.65,28959.09,29056.65,0.00099088,28.791653352
1691337600000,2023-08-06 16:00:00,BTCG/USD,28988.5,28988.5,28959.09,28959.09,4.092e-05,1.1850059628
1691334000000,2023-08-06 15:00:00,BTCG/USD,28988.5,28988.5,28988.5,28988.5,0.0,0.0
1691330400000,2023-08-06 14:00:00,BTCG/USD,28986.38,28988.5,28986.38,28988.5,4.646e-05,1.34680571
1691326800000,2023-08-06 13:00:00,BTCG/USD,29363.95,29363.95,28985.61,28986.38,0.15019191,4353.519776185801
1691323200000,2023-08-06 12:00:00,BTCG/USD,29043.45,29363.95,29043.45,29363.95,0.0047668,139.97207686
1691319600000,2023-08-06 11:00:00,BTCG/USD,29043.45,29043.45,29043.45,29043.45,0.0,0.0
1691316000000,2023-08-06 10:00:00,BTCG/USD,29043.45,29043.45,29043.45,29043.45,0.0,0.0
1691312400000,2023-08-06 09:00:00,BTCG/USD,29043.45,29043.45,29043.45,29043.45,0.0,0.0
1691308800000,2023-08-06 08:00:00,BTCG/USD,29043.45,29043.45,29043.45,29043.45,0.0,0.0
1691305200000,2023-08-06 07:00:00,BTCG/USD,29063.89,29063.89,29043.45,29043.45,0.00010248,2.976372756
1691301600000,2023-08-06 06:00:00,BTCG/USD,29063.89,29063.89,29063.89,29063.89,0.0,0.0
1691298000000,2023-08-06 05:00:00,BTCG/USD,29028.82,29063.89,29028.82,29063.89,0.00102809,29.8802946701
1691294400000,2023-08-06 04:00:00,BTCG/USD,29028.82,29028.82,29028.82,29028.82,0.0,0.0
1691290800000,2023-08-06 03:00:00,BTCG/USD,29028.82,29028.82,29028.82,29028.82,0.0,0.0
1691287200000,2023-08-06 02:00:00,BTCG/USD,29024.91,29028.82,29024.91,29028.82,0.035457,1029.27487074
1691283600000,2023-08-06 01:00:00,BTCG/USD,29040.14,29040.14,29024.91,29024.91,0.03,870.7473
1691280000000,2023-08-06 00:00:00,BTCG/USD,29040.14,29040.14,29040.14,29040.14,0.0,0.0
1691276400000,2023-08-05 23:00:00,BTCG/USD,29040.14,29040.14,29040.14,29040.14,0.0,0.0
1691272800000,2023-08-05 22:00:00,BTCG/USD,29040.14,29040.14,29040.14,29040.14,0.0,0.0
1691269200000,2023-08-05 21:00:00,BTCG/USD,29040.14,29040.14,29040.14,29040.14,0.0,0.0
