https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1764543600000,2025-11-30 23:00:00,SOL/USD,137.748,137.765,133.285,133.533,9496.704661,1268123.4634973127
1764540000000,2025-11-30 22:00:00,SOL/USD,137.133,137.791,137.011,137.748,1021.351461,140689.12104982798
1764536400000,2025-11-30 21:00:00,SOL/USD,137.31,137.39,136.731,137.133,341.660309,46852.903154097
1764532800000,2025-11-30 20:00:00,SOL/USD,137.652,137.865,136.97,137.31,513.235326,70472.34261306
1764529200000,2025-11-30 19:00:00,SOL/USD,138.632,138.647,137.39,137.652,497.741317,68515.08776768399
1764525600000,2025-11-30 18:00:00,SOL/USD,138.483,138.645,137.891,138.632,541.047161,75006.450023752
1764522000000,2025-11-30 17:00:00,SOL/USD,139.557,139.557,138.38,138.483,1210.386448,167617.946478384
1764518400000,2025-11-30 16:00:00,SOL/USD,137.724,139.811,137.724,139.557,2015.773294,281315.273590758
1764514800000,2025-11-30 15:00:00,SOL/USD,137.724,137.724,137.724,137.724,0.0,0.0
1764511200000,2025-11-30 14:00:00,SOL/USD,137.724,137.724,137.724,137.724,0.0,0.0
1764507600000,2025-11-30 13:00:00,SOL/USD,137.615,137.724,137.615,137.724,1.961281,270.115464444
1764504000000,2025-11-30 12:00:00,SOL/USD,136.513,137.648,136.286,137.615,70.807682,9744.199158430001
1764500400000,2025-11-30 11:00:00,SOL/USD,136.689,136.906,136.258,136.513,267.455249,36511.118406737
1764496800000,2025-11-30 10:00:00,SOL/USD,136.786,136.976,136.577,136.689,150.864638,20621.536503582
1764493200000,2025-11-30 09:00:00,SOL/USD,136.773,137.117,136.495,136.786,162.778111,22265.766691246
1764489600000,2025-11-30 08:00:00,SOL/USD,136.567,137.06,136.186,136.773,178.661725,24436.100113424996
1764486000000,2025-11-30 07:00:00,SOL/USD,136.298,136.687,136.243,136.567,38.670995,5281.181774165
1764482400000,2025-11-30 06:00:00,SOL/USD,135.844,136.477,135.572,136.298,263.374874,35897.468576451996
1764478800000,2025-11-30 05:00:00,SOL/USD,136.388,136.388,135.568,135.844,428.329257,58185.95958790799
1764475200000,2025-11-30 04:00:00,SOL/USD,136.428,136.928,136.269,136.388,509.059732,69429.638728016
1764471600000,2025-11-30 03:00:00,SOL/USD,135.876,136.503,135.291,136.428,342.625835,46743.757417379995
1764468000000,2025-11-30 02:00:00,SOL/USD,136.342,136.79,135.876,135.876,392.803438,53372.55994168801
1764464400000,2025-11-30 01:00:00,SOL/USD,135.988,136.498,135.932,136.342,276.482891,37696.230324722004
1764460800000,2025-11-30 00:00:00,SOL/USD,136.01,136.463,135.807,135.988,149.336574,20307.982025112
1764457200000,2025-11-29 23:00:00,SOL/USD,135.778,136.186,135.544,136.01,166.827759,22690.243501589997
1764453600000,2025-11-29 22:00:00,SOL/USD,136.518,136.518,135.481,135.778,746.41356,101346.54034967998
1764450000000,2025-11-29 21:00:00,SOL/USD,136.226,136.55,135.806,136.518,190.774589,26044.165341101998
1764446400000,2025-11-29 20:00:00,SOL/USD,135.733,136.33,135.369,136.226,391.516907,53334.782172982
1764442800000,2025-11-29 19:00:00,SOL/USD,135.759,136.278,135.48,135.733,456.790404,62001.531906132004
1764439200000,2025-11-29 18:00:00,SOL/USD,136.216,136.376,134.801,135.759,2006.71739,272429.94614901
1764435600000,2025-11-29 17:00:00,SOL/USD,137.676,138.029,136.213,136.216,702.734616,95723.698453056
1764432000000,2025-11-29 16:00:00,SOL/USD,137.622,137.846,137.104,137.676,387.814955,53392.811744579994
1764428400000,2025-11-29 15:00:00,SOL/USD,136.551,137.645,136.551,137.622,1044.627206,143763.685344132
1764424800000,2025-11-29 14:00:00,SOL/USD,136.916,136.927,136.522,136.551,138.958939,18974.982079388996
1764421200000,2025-11-29 13:00:00,SOL/USD,136.96,136.996,136.694,136.916,62.394349,8542.784687684
1764417600000,2025-11-29 12:00:00,SOL/USD,137.357,137.426,136.898,136.96,81.367596,11144.105948160002
1764414000000,2025-11-29 11:00:00,SOL/USD,136.817,137.357,136.678,137.357,62.011249,8517.679128893
1764410400000,2025-11-29 10:00:00,SOL/USD,136.725,137.06,136.463,136.817,240.451111,32897.799653687
1764406800000,2025-11-29 09:00:00,SOL/USD,136.838,137.11,136.677,136.725,96.124093,13142.566615425
1764403200000,2025-11-29 08:00:00,SOL/USD,137.336,137.47,136.762,136.838,87.556838,11981.102598243999
1764399600000,2025-11-29 07:00:00,SOL/USD,136.965,137.532,136.965,137.336,63.312291,8695.056796776002
1764396000000,2025-11-29 06:00:00,SOL/USD,137.216,137.6,136.314,136.965,276.888556,37924.04107254
1764392400000,2025-11-29 05:00:00,SOL/USD,137.645,137.702,137.175,137.216,115.817728,15892.045365248001
1764388800000,2025-11-29 04:00:00,SOL/USD,136.851,137.645,136.851,137.645,216.560555,29808.477592975003
1764385200000,2025-11-29 03:00:00,SOL/USD,137.26,137.4,136.8,136.851,950.928755,130135.551050505
