https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTX,Volume USD
1764111600000,2025-11-25 23:00:00,CTX/USD,0.9458,0.9681,0.9309,0.9358,1233.12657,1153.9598442059998
1764108000000,2025-11-25 22:00:00,CTX/USD,0.9708,0.9708,0.9458,0.9458,1186.62271,1122.3077591180001
1764104400000,2025-11-25 21:00:00,CTX/USD,0.9736,0.9736,0.9654,0.9708,80.373953,78.0270335724
1764100800000,2025-11-25 20:00:00,CTX/USD,0.9753,0.9872,0.957,0.9736,2567.1422,2499.36964592
1764097200000,2025-11-25 19:00:00,CTX/USD,0.9753,0.9753,0.9753,0.9753,0.0,0.0
1764093600000,2025-11-25 18:00:00,CTX/USD,0.9649,0.9753,0.9596,0.9753,1768.904463,1725.2125227638999
1764090000000,2025-11-25 17:00:00,CTX/USD,0.9648,0.9649,0.9578,0.9649,10.107736,9.752954466399999
1764086400000,2025-11-25 16:00:00,CTX/USD,0.986,0.986,0.9574,0.9648,194.250179,187.4125726992
1764082800000,2025-11-25 15:00:00,CTX/USD,0.986,0.986,0.986,0.986,0.0,0.0
1764079200000,2025-11-25 14:00:00,CTX/USD,0.9752,0.986,0.9752,0.986,401.695926,396.07218303599996
1764075600000,2025-11-25 13:00:00,CTX/USD,0.962,0.9752,0.962,0.9752,46.752213,45.5927581176
1764072000000,2025-11-25 12:00:00,CTX/USD,0.9594,0.962,0.9594,0.962,342.146076,329.144525112
1764068400000,2025-11-25 11:00:00,CTX/USD,0.9594,0.9594,0.9594,0.9594,0.0,0.0
1764064800000,2025-11-25 10:00:00,CTX/USD,0.9594,0.9594,0.9594,0.9594,0.0,0.0
1764061200000,2025-11-25 09:00:00,CTX/USD,0.959,0.9595,0.9519,0.9594,332.406901,318.9111808194
1764057600000,2025-11-25 08:00:00,CTX/USD,0.959,0.959,0.959,0.959,0.0,0.0
1764054000000,2025-11-25 07:00:00,CTX/USD,0.959,0.959,0.959,0.959,0.0,0.0
1764050400000,2025-11-25 06:00:00,CTX/USD,0.9521,0.959,0.952,0.959,10.170348,9.753363732
1764046800000,2025-11-25 05:00:00,CTX/USD,0.9521,0.9521,0.9521,0.9521,0.0,0.0
1764043200000,2025-11-25 04:00:00,CTX/USD,0.9521,0.9521,0.9521,0.9521,0.0,0.0
1764039600000,2025-11-25 03:00:00,CTX/USD,0.9521,0.9521,0.9521,0.9521,0.0,0.0
1764036000000,2025-11-25 02:00:00,CTX/USD,0.9521,0.9521,0.9521,0.9521,0.0,0.0
1764032400000,2025-11-25 01:00:00,CTX/USD,0.9532,0.9532,0.9456,0.9521,284.04745,270.441577145
1764028800000,2025-11-25 00:00:00,CTX/USD,0.9358,0.9532,0.9358,0.9532,51.15808,48.763881856
1764025200000,2025-11-24 23:00:00,CTX/USD,0.9358,0.9358,0.9358,0.9358,0.0,0.0
1764021600000,2025-11-24 22:00:00,CTX/USD,0.9529,0.9529,0.9358,0.9358,255.870129,239.4432667182
1764018000000,2025-11-24 21:00:00,CTX/USD,0.9366,0.9529,0.9366,0.9529,255.870129,243.8186459241
1764014400000,2025-11-24 20:00:00,CTX/USD,0.9622,0.9752,0.9366,0.9366,285.182538,267.10196509080004
1764010800000,2025-11-24 19:00:00,CTX/USD,0.9345,0.97,0.9345,0.9622,1025.982905,987.2007511910001
1764007200000,2025-11-24 18:00:00,CTX/USD,0.9343,0.9345,0.9343,0.9345,15.0,14.0175
1764003600000,2025-11-24 17:00:00,CTX/USD,0.9376,0.9467,0.9343,0.9343,61.996305,57.9231477615
1764000000000,2025-11-24 16:00:00,CTX/USD,0.9376,0.9376,0.9376,0.9376,0.0,0.0
1763996400000,2025-11-24 15:00:00,CTX/USD,0.9376,0.9376,0.9376,0.9376,0.0,0.0
1763992800000,2025-11-24 14:00:00,CTX/USD,0.9269,0.9376,0.9269,0.9376,0.01,0.009376
1763989200000,2025-11-24 13:00:00,CTX/USD,0.9408,0.9408,0.9269,0.9269,41.621008,38.5785123152
1763985600000,2025-11-24 12:00:00,CTX/USD,0.9408,0.9408,0.9408,0.9408,0.0,0.0
1763982000000,2025-11-24 11:00:00,CTX/USD,0.9408,0.9408,0.9408,0.9408,0.0,0.0
1763978400000,2025-11-24 10:00:00,CTX/USD,0.9504,0.9504,0.9347,0.9408,10.013785,9.420968928
1763974800000,2025-11-24 09:00:00,CTX/USD,0.9504,0.9504,0.9504,0.9504,0.0,0.0
1763971200000,2025-11-24 08:00:00,CTX/USD,0.9504,0.9504,0.9504,0.9504,0.0,0.0
1763967600000,2025-11-24 07:00:00,CTX/USD,0.9504,0.9504,0.9504,0.9504,0.0,0.0
1763964000000,2025-11-24 06:00:00,CTX/USD,0.9336,0.9504,0.9336,0.9504,10.261458,9.7524896832
1763960400000,2025-11-24 05:00:00,CTX/USD,0.9336,0.9336,0.9336,0.9336,0.0,0.0
1763956800000,2025-11-24 04:00:00,CTX/USD,0.9336,0.9336,0.9336,0.9336,0.0,0.0
1763953200000,2025-11-24 03:00:00,CTX/USD,0.9336,0.9336,0.9336,0.9336,0.0,0.0
1763949600000,2025-11-24 02:00:00,CTX/USD,0.9474,0.9474,0.9336,0.9336,27.228264,25.4203072704
1763946000000,2025-11-24 01:00:00,CTX/USD,0.9474,0.9474,0.9474,0.9474,0.0,0.0
1763942400000,2025-11-24 00:00:00,CTX/USD,0.9474,0.9474,0.9474,0.9474,0.0,0.0
1763938800000,2025-11-23 23:00:00,CTX/USD,0.9474,0.9474,0.9474,0.9474,0.0,0.0
1763935200000,2025-11-23 22:00:00,CTX/USD,0.9359,0.9474,0.9359,0.9474,134.908244,127.8120703656
1763931600000,2025-11-23 21:00:00,CTX/USD,0.9359,0.9359,0.9359,0.9359,0.0,0.0
1763928000000,2025-11-23 20:00:00,CTX/USD,0.9474,0.9474,0.9359,0.9359,6.983553,6.5359072526999995
1763924400000,2025-11-23 19:00:00,CTX/USD,0.9474,0.9474,0.9474,0.9474,0.0,0.0
1763920800000,2025-11-23 18:00:00,CTX/USD,0.9474,0.9474,0.9474,0.9474,0.0,0.0
1763917200000,2025-11-23 17:00:00,CTX/USD,0.9484,0.9484,0.9454,0.9474,111.0,105.1614
1763913600000,2025-11-23 16:00:00,CTX/USD,0.9332,0.9484,0.9332,0.9484,140.082976,132.8546944384
1763910000000,2025-11-23 15:00:00,CTX/USD,0.9428,0.9428,0.9332,0.9332,74.118939,69.1677938748
1763906400000,2025-11-23 14:00:00,CTX/USD,0.9447,0.9447,0.9428,0.9428,2.7,2.54556
